Date,Predicted_Price,Actual_Price,Predicted_Change,Actual_Change,Predicted_Change_Pct,Signal,Signal_Strength,Mean_Reversion_Signal,Signal_Source
2025-07-10,373.94920654296874,519.0138549804688,-125.77247314453125,19.29217529296875,-25.17,-1,25.17,0.012282425080358665,Model
2025-07-11,381.2295227050781,520.2095947265625,-120.32571411132812,18.65435791015625,-23.99,0,23.99,0.012772187016904139,None
2025-07-14,376.3820861816406,519.9405517578125,-124.874169921875,18.684295654296875,-24.91,-1,24.91,0.010410684974863254,Model
2025-07-15,387.33251953125,527.3843383789062,-116.71392822265625,23.337890625,-23.16,1,23.16,0.022557540056022892,Model
2025-07-16,387.3705322265625,518.7547607421875,-116.47660522460937,14.907623291015625,-23.12,1,23.12,0.004373896980068755,Model
2025-07-17,394.66099853515624,520.6480102539062,-115.24485473632814,10.742156982421875,-22.6,1,22.6,0.006992284995951292,Model
2025-07-18,382.1756530761719,518.3461303710938,-126.08597412109376,10.084503173828125,-24.81,-1,24.81,0.0015634349716676336,Model
2025-07-21,399.1031433105469,515.286865234375,-109.1684326171875,7.015289306640625,-21.48,1,21.48,-0.005022119402967396,Model
2025-07-22,388.6132019042969,507.98260498046875,-114.8851806640625,4.484222412109375,-22.82,1,22.82,-0.019550533699084667,Model
2025-07-23,380.36961059570314,503.9468078613281,-123.72667236328125,-0.14947509765625,-24.54,-1,24.54,-0.02732593326675257,Model
2025-07-24,373.6335021972656,503.2980041503906,-135.45521240234376,-5.79071044921875,-26.61,-1,26.61,-0.02803502829938838,Model
2025-07-25,363.9852661132812,506.2824401855469,-147.92357788085937,-5.62640380859375,-28.9,-1,28.9,-0.021740037698464186,Model
2025-07-28,343.9985595703125,503.3179931640625,-166.7044738769531,-7.385040283203125,-32.64,-1,32.64,-0.02677368389532272,Model
2025-07-29,337.5922607421875,501.1021423339844,-173.18053588867187,-9.670654296875,-33.91,-1,33.91,-0.03015152157971882,Model
2025-07-30,358.6472412109375,505.7933349609375,-152.79318847656248,-5.6470947265625,-29.88,-1,29.88,-0.02053678814595025,Model
2025-07-31,366.9590637207031,508.68792724609375,-164.6703308105469,-22.94146728515625,-30.97,-1,30.97,-0.012738443053332457,Model
2025-08-01,382.3744079589844,505.7434387207031,-139.8979309082031,-16.528900146484375,-26.79,-1,26.79,-0.01687621087212042,Model
2025-08-04,427.78675537109376,504.1763610839844,-105.97514648437499,-29.585540771484375,-19.85,1,19.85,-0.01709604932291125,Model
2025-08-05,394.55511474609375,504.40594482421875,-131.34442138671875,-21.49359130859375,-24.98,-1,24.98,-0.014583911569540258,Model
2025-08-06,410.19757080078125,507.02105712890625,-112.90185546875,-16.078369140625,-21.58,-1,21.58,-0.007916868373710868,Model
2025-08-07,409.6618591308594,494.0752868652344,-109.35199584960938,-24.938568115234375,-21.07,-1,21.07,-0.030883228064975454,Model
2025-08-08,413.10516357421875,497.2693176269531,-107.10443115234375,-22.940277099609375,-20.59,1,20.59,-0.022418812375465395,Model
2025-08-11,402.8834594726562,497.4789123535156,-117.05709228515624,-22.461639404296875,-22.51,-1,22.51,-0.01984271481540209,Model
2025-08-12,417.04034423828125,499.43524169921875,-110.343994140625,-27.9490966796875,-20.92,1,20.92,-0.01327146596516212,Model
2025-08-13,402.6842041015625,500.0740661621094,-116.070556640625,-18.680694580078125,-22.37,-1,22.37,-0.010182776832977804,Model
2025-08-14,423.1636088053385,508.94744873046875,-97.48440144856771,-11.7005615234375,-18.72,1,18.72,0.008548544398371952,Model
2025-08-15,400.7611572265625,514.397216796875,-117.58497314453125,-3.94891357421875,-22.68,-1,22.68,0.01974699230390171,Model
2025-08-18,408.4418029785156,508.08905029296875,-106.84506225585938,-7.19781494140625,-20.74,1,20.74,0.007960741246810139,Model
2025-08-19,395.82151489257814,509.06719970703125,-112.16109008789063,1.0845947265625,-22.08,-1,22.08,0.009792584475600523,Model
2025-08-20,388.8928466796875,507.5001525878906,-115.05396118164063,3.5533447265625,-22.83,-1,22.83,0.006329514808523604,Model
2025-08-21,398.1450714111328,516.96240234375,-105.1529327392578,13.664398193359375,-20.89,1,20.89,0.02370546679718387,Model
2025-08-22,403.2397766113281,513.4889526367188,-103.04266357421875,7.206512451171875,-20.35,1,20.35,0.01610221301016667,Model
