Entry_Date,Exit_Date,Ticker,Direction,Entry_Price,Exit_Price,Shares,P&L,Win
2025-06-09,2025-06-16,RCL,LONG,272.2234802246094,263.0032958984375,78,-718.4552030639649,False
2025-06-09,2025-06-16,ODFL,SHORT,161.5865478515625,158.83714294433594,165,453.19815788269045,True
2025-06-09,2025-06-16,MAS,LONG,63.11850357055664,61.900115966796875,423,-514.8625784339905,False
2025-06-10,2025-06-16,TT,LONG,420.7205810546875,425.63934326171875,8,39.31074755859375,True
2025-06-10,2025-06-16,SRE,LONG,74.2354507446289,72.09544372558594,48,-102.61761657714844,False
2025-06-10,2025-06-16,GL,LONG,119.35517120361328,119.89186096191406,30,16.084592056274413,True
2025-06-10,2025-06-16,ALLE,SHORT,139.1563262939453,136.10000610351562,26,79.3848606262207,True
2025-06-16,2025-06-23,TT,LONG,425.63934326171875,425.94866943359375,41,12.669690673828125,True
2025-06-16,2025-06-23,DECK,SHORT,103.62999725341797,100.44000244140625,203,646.9213778915405,True
2025-06-16,2025-06-23,VICI,SHORT,30.774627685546875,31.842771530151367,857,-914.4838755512237,False
2025-06-16,2025-06-23,ETSY,SHORT,53.88999938964844,53.91999816894531,489,-14.654733673095704,False
2025-06-17,2025-06-23,HIG,LONG,124.48916625976562,126.37340545654297,28,52.70593881225586,True
2025-06-17,2025-06-23,AON,LONG,350.07525634765625,359.1961364746094,10,91.11759246826172,True
2025-06-17,2025-06-23,EMN,LONG,73.2833480834961,73.12736511230469,48,-7.479695434570313,False
2025-06-17,2025-06-23,MCHP,LONG,66.62313842773438,67.49910736083984,53,46.37992710113525,True
2025-06-23,2025-06-30,MA,LONG,540.0917358398438,559.6002197265625,32,623.647212890625,True
2025-06-23,2025-06-30,AON,LONG,359.1961364746094,356.0128173828125,58,-184.44787481689454,False
2025-06-23,2025-06-30,V,LONG,342.4678649902344,353.7257080078125,76,854.7404732666016,True
2025-06-23,2025-06-30,CI,LONG,313.6154479980469,327.0813903808594,84,1130.0080209960938,True
2025-06-24,2025-06-30,CTAS,LONG,222.2128448486328,221.88429260253906,16,-5.2515791015625,False
2025-06-24,2025-06-30,BRO,LONG,110.54297637939453,110.4632797241211,33,-2.627359634399414,False
2025-06-24,2025-06-30,MU,SHORT,127.65816497802734,123.00733947753906,28,130.09289089965822,True
2025-06-24,2025-06-30,XRAY,SHORT,15.065383911132812,15.45107650756836,245,-94.40019144058228,False
2025-06-30,2025-07-07,EQIX,LONG,785.8873901367188,767.7584838867188,22,-398.4371015625,False
2025-06-30,2025-07-07,ITT,LONG,156.2083740234375,158.20045471191406,137,272.6421392669678,True
2025-06-30,2025-07-07,DVN,SHORT,31.38836097717285,32.246829986572266,858,-735.8298436546326,False
2025-06-30,2025-07-07,KMX,LONG,67.20999908447266,68.77999877929688,400,627.3718780517578,True
