entry_idx,exit_idx,entry_price,exit_price,position,pnl,return_pct,prediction,correct
15896,15956,540.74,541.8,-9,-9.719999999999509,-0.19972630099492275,-0.12139181248087613,False
15974,16034,542.38,547.41,-5,-25.24999999999986,-0.9310815295549194,-0.03890985428332479,False
16136,16196,547.02,547.35,5,1.5500000000002045,0.05667068845746791,0.03659110077529256,True
16196,16256,547.35,549.26,-5,-9.64999999999984,-0.3526080204622213,-0.03857711494916419,False
16289,16349,547.76,550.618,-9,-25.902000000000548,-0.5254125894552469,-0.07041523639139882,False
16395,16455,551.1601,550.4,5,-3.9005000000003975,-0.14153782176904306,0.041611857171242474,False
16483,16543,550.11,550.246,5,0.5799999999998363,0.021086691752552626,0.039770310931703585,True
16546,16606,549.83,552.97,-7,-22.119999999999905,-0.5747230962297412,-0.05159102653879935,False
16611,16671,552.705,551.94,-9,6.7049999999998775,0.13479161578056764,-0.06744055762035844,True
16671,16731,551.94,551.84,9,-1.0800000000002046,-0.021741493640617227,0.17236288983624676,False
16738,16798,551.5,552.91,5,6.949999999999841,0.2520398912057966,0.04219801038080419,True
16820,16880,553.12,551.2,5,-9.699999999999795,-0.3507376337865127,0.040182718898013024,False
16881,16941,550.89,552.63,-7,-12.320000000000064,-0.3194830183884277,-0.049175077147941296,False
16948,17008,552.37,553.3,7,6.369999999999649,0.16474464579900244,0.055217692320213424,True
17025,17085,552.49,553.33,7,5.740000000000222,0.14841897590907197,0.0562745495262769,True
17095,17155,552.89,552.435,7,-3.3250000000002866,-0.08591220676808062,0.04580501042148089,False
17155,17215,552.435,546.45,-9,53.68499999999911,1.0797650402309595,-0.12538167899920197,True
17215,17275,546.45,546.08,-9,3.1500000000000408,0.06404977582578544,-0.17708828629041054,True
17287,17347,545.67,542.27,-5,16.899999999999885,0.6194219949786459,-0.037377402655376875,True
17355,17415,542.33,540.1795,-9,19.174500000000712,0.39284199657036845,-0.09529990883549988,True
17423,17483,540.3,541.68,-5,-6.999999999999977,-0.2591153063113077,-0.03728866510134705,False
17489,17549,541.72,540.96,5,-3.8999999999999546,-0.14398582293435555,0.036781617798899297,False
17549,17609,540.96,541.4,-9,-4.139999999999468,-0.08503401360543124,-0.063216798374203,False
17610,17670,541.4,540.31,5,-5.550000000000159,-0.20502401182121016,0.03506883986640427,False
17678,17738,540.24,537.95,5,-11.549999999999818,-0.4275877387827565,0.042801445514986214,False
17738,17798,537.95,537.37,-9,5.040000000000369,0.1040988939492594,-0.0674572601120274,True
17801,17861,537.29,537.48,5,0.8500000000002729,0.03164026875617536,0.03640526236283829,True
17875,17935,537.06,537.65,5,2.850000000000159,0.10613339291699844,0.03840476051458537,True
17956,18016,534.48,535.59,9,9.810000000000123,0.20393653644664228,0.25221715560485064,True
18021,18081,534.21,530.0699,-9,37.08090000000068,0.771251006158641,-0.07729495952087377,True
18081,18141,530.0699,530.2,-9,-1.3509000000007563,-0.028317020076047337,-0.12087833252640034,False
18143,18203,531.06,532.33,9,11.25000000000086,0.23537830000378407,0.08016645016307715,True
18206,18266,533.13,530.26,-9,25.65000000000004,0.5345788081706159,-0.14369036621198678,True
18316,18376,531.95,532.5249,7,3.884299999999698,0.10431431525518503,0.05259895209220757,True
18379,18439,532.72,532.16,-9,4.860000000000532,0.10136657155730198,-0.06837772948073238,True
18461,18521,531.4298,531.65,7,1.4013999999998397,0.03767195591966749,0.04932890592397271,True
18521,18581,531.65,531.4,5,-1.35,-0.05078529107495533,0.03636651794626523,False
18581,18641,531.4,521.16,5,-51.30000000000004,-1.9307489649981198,0.04225484713580348,False
18642,18702,521.22,519.47,-9,15.57,0.3319135873527493,-0.09408936313163348,True
18705,18765,518.73,516.75,7,-14.000000000000128,-0.3855570335241876,0.05449686501931577,False
18766,18826,516.8,516.18,-9,5.400000000000041,0.11609907120743122,-0.09777772236881473,True
18828,18888,516.54,512.58,-7,27.57999999999946,0.7627676462616492,-0.04610109601096713,True
18888,18948,512.58,513.62,9,9.179999999999673,0.1989933278707643,0.41705532602554835,True
18949,19009,513.64,516.89,9,29.07,0.6288451055213768,0.2613692167430627,True
19009,19069,516.89,520.35,9,30.960000000000328,0.6655187757550032,0.2709598462920185,True
19073,19133,520.55,520.08,-9,4.049999999999223,0.08644702718277085,-0.09833314061107509,True
19133,19193,520.08,519.565,-9,4.4549999999998775,0.09517766497461667,-0.08865065639250706,True
19193,19253,519.565,516.03,-5,17.575000000000408,0.6765274797186264,-0.03716727768212256,True
19253,19313,516.03,515.4,-9,5.489999999999959,0.11821018157858953,-0.3388042425069738,True
19321,19381,515.74,519.69,-5,-19.85000000000023,-0.7697677124132404,-0.04028188862527009,False
19390,19450,520.02,522.0167,7,13.836900000000227,0.3801199953847991,0.04983566336335966,True
19453,19513,522.31,522.05,-5,1.1999999999999547,0.0459497233443723,-0.04041329975935536,True
19514,19574,521.8,521.14,5,-3.399999999999841,-0.13031812955154623,0.03504775682370777,False
19597,19657,521.59,519.28,-5,11.450000000000296,0.4390421595506162,-0.03915495431117118,True
19676,19736,520.01,522.18,-5,-10.949999999999795,-0.42114574719716136,-0.04021868214055202,False
19744,19804,522.79,519.92,-5,14.250000000000023,0.5451519730675807,-0.0402732166227037,True
19804,19864,519.92,519.39,7,-3.849999999999809,-0.1057855054623736,0.05495577121265265,False
19866,19926,520.1699,522.68,7,17.43069999999976,0.47870897566352183,0.04447131174247927,True
19926,19986,522.68,523.54,7,5.880000000000095,0.16071018596464637,0.050911740291275716,True
19986,20046,523.54,526.2868,-9,-24.901200000000067,-0.5284791992970943,-0.07158317161126508,False
20065,20125,526.5533,527.81,5,6.183499999999549,0.2348670115636745,0.03624866944568624,True
20155,20215,528.55,526.58,-9,17.549999999999223,0.3689338756976471,-0.06434597129345199,True
20215,20275,526.58,523.31,-9,29.25000000000086,0.6171901705344098,-0.08900178913723304,True
20275,20335,523.31,520.28,9,-27.449999999999754,-0.582828533756277,0.11958310607743883,False
20335,20395,520.28,521.33,5,5.150000000000341,0.19797032367188214,0.03488223552368303,True
20404,20464,521.1,519.9,-9,10.62000000000041,0.2264440606409605,-0.061243923245972026,True
20464,20524,519.9,527.22,9,65.70000000000046,1.4041161761877383,0.05923269876756278,True
20538,20598,527.75,528.38,-9,-5.849999999999959,-0.12316437707247663,-0.08008640538814166,False
20623,20683,528.5,528.4,-5,0.40000000000011365,0.01513718070009891,-0.036115453239439786,True
20685,20745,528.2,528.41,5,0.9499999999996135,0.0359712230215681,0.035274924194390614,True
20752,20812,528.03,530.3001,5,11.250500000000352,0.4261310910365076,0.03561774976706269,True
20813,20873,529.87,530.39,-7,-3.779999999999873,-0.10191178968425875,-0.04538680813095042,False
20879,20939,530.14,527.58,-7,17.779999999999617,0.4791187233560843,-0.05403650470788701,True
20941,21001,526.3,524.86,-9,12.779999999999468,0.26980809424281604,-0.13980404296399823,True
21001,21061,524.86,521.79,-9,27.45000000000045,0.5811073429104999,-0.06236116055673388,True
21061,21121,521.79,521.19,-7,4.059999999999363,0.11115582897332434,-0.051130293072963504,True
21121,21181,521.19,518.4805,5,-13.64750000000024,-0.5237053665649855,0.036884925902006,False
21181,21241,518.4805,516.27,-10,21.905000000000246,0.4224845485992288,-0.18685125767129812,True
21246,21306,515.95,516.4,8,3.439999999999454,0.08334140905125142,0.04530916278562103,True
21313,21373,516.88,515.56,6,-8.040000000000301,-0.2592477944590718,0.03537800761954776,False
21379,21439,514.61,518.0,-8,-27.27999999999989,-0.6626377256563196,-0.05441969004650376,False
21440,21500,518.17,517.58,-10,5.699999999999181,0.11000250882913294,-0.06892083119514315,True
21504,21564,517.66,518.621,6,5.646000000000076,0.18177954642043284,0.036166262032129616,True
21576,21636,519.09,522.25,-6,-19.07999999999981,-0.6126105299658958,-0.03669234795948668,False
21636,21696,522.25,523.56,9,11.60999999999951,0.24700813786499676,0.3481251736582255,True
21696,21756,523.56,527.78,-9,-38.16000000000024,-0.8098403239361347,-0.08179353623439063,False
21756,21816,527.78,527.21,-9,4.949999999999427,0.10421008753646148,-0.0916309730746324,True
21836,21896,528.92,526.85,7,-14.629999999999555,-0.3951448234137368,0.057731498782421786,False
21896,21956,526.85,530.75,-5,-19.599999999999888,-0.7440447945335442,-0.03868331165266778,False
21969,22029,531.18,530.0,5,-5.9999999999997495,-0.22591212018523854,0.0399277452606422,False
22032,22092,530.5496,531.41,-7,-6.162799999999393,-0.1659411297265917,-0.048413223314564754,False
22095,22155,531.46,530.99,5,-2.4500000000001365,-0.09219884845520401,0.03881356334658354,False
22155,22215,530.99,530.66,5,-1.7500000000002047,-0.06591461232792349,0.0425350069740409,False
22217,22277,530.7,531.61,5,4.449999999999841,0.16770303372903111,0.03636651794626523,True
22290,22350,532.62,531.67,-9,8.37000000000041,0.17460853892081513,-0.07553089154266183,True
